
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
瑞普生物,5.5439,农药兽药,2.73,2.0307,19.68,42.4371,0.4637,22.39,7275375096.12,2025-09-09,11.38,348277953696.4,28.29,36.16,23.0,21.72,30.25,55439.0,1968.0,15.18,51.57
伊利股份,31.045,食品饮料,5.8865,5.2739,12.54,40.453,0.31,28.21,179754632831.76,2025-09-09,20.37,1758157413612.44,,,,,,,,15.18,51.57
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,4.0103,专用设备,6.0775,0.6599,29.11,86.0812,0.3382,20.0,8663858768.7,2025-09-10,15.87,2007887170634.08,19.12,21.0,16.6,19.98,-4.3,40103.0,2911.0,15.11,50.89
鱼跃医疗,6.1686,医疗器械,5.1387,1.2004,16.51,55.2585,0.2988,40.47,37249066457.68,2025-09-10,32.45,1489178244493.89,49.33,58.85,44.0,39.62,24.51,61686.0,1651.0,15.11,50.89
影视ETF,6.5531,,,,,,,11.24,79311287.5,2025-09-10,,,,,,,,,,15.11,50.89
瑞普生物,3.1406,农药兽药,2.6942,1.1657,19.49,42.1756,0.4621,21.72,7208382691.92,2025-09-10,11.24,344200185969.41,28.29,36.16,23.0,21.52,31.46,31406.0,1949.0,15.11,50.89
伊利股份,33.5167,食品饮料,5.8053,5.7735,12.49,40.6202,0.3075,28.56,178936421968.03,2025-09-10,20.27,1749888061773.91,,,,,,,,15.11,50.89
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,9.044,专用设备,6.348,1.4247,30.16,86.4297,0.349,19.98,8976069895.5,2025-09-11,16.29,2060364752128.49,20.24,25.6,16.6,20.7,-2.22,90440.0,3016.0,15.04,50.2
鱼跃医疗,7.9955,医疗器械,5.2384,1.5263,16.49,56.095,0.294,39.62,37202058549.48,2025-09-11,32.94,1511471236664.71,49.33,58.85,44.0,39.57,24.67,79955.0,1649.0,15.04,50.2
影视ETF,6.1781,,,,,,,11.45,79242020.0,2025-09-11,,,,,,,,,,15.04,50.2
